student_id,course_name,grade_point_average
5694e8a3-123b-4c79-9eae-7e16941a545e,Ciência de Dados,7.8
f7b960a6-2c4d-4972-84d0-b7614e46afd6,Ciência de Dados,8.9
2cfa1c18-8ca1-4cb2-b36c-4873a9fb2a51,Administração,7.0
8c90b9df-f1c9-4c3c-b0cb-1eb0d38d5b14,Direito,1.7
3db44535-f747-4b95-836a-8d5c23e595b5,Ciência de Dados,2.0
a05e980f-9926-4973-86a8-ba4a1c3bfcbf,Direito,1.3
62e9709a-5c8d-48d7-a8c4-f9941dd391ba,Administração,9.9
d4b1402c-6d17-4e26-a79d-2c81710bd222,Administração,5.3
627889dc-03ff-45d5-a5cd-cbcce668e7ec,Engenharia de Software,5.8
33f4487a-2d92-4b4a-8390-6a19ac489a2a,Direito,6.1
5eafe86e-2743-40c4-aa96-5f5946b3ddfe,Engenharia de Software,7.6
e3398222-40b5-4d89-85cf-5494cc20987d,Administração,4.0
2688e668-afe7-4c46-8780-4ba050e5f5e6,Administração,7.5
2c8cdfed-62a3-4259-9e9d-d371ca3a3391,Direito,6.1
87ac32fd-bddb-4d3a-8e69-327e410abe8f,Ciência de Dados,6.8
0eb513c1-c9e7-41d9-9a1f-2dddc9aa6fd4,Direito,3.9
5605a7ca-294b-489b-b3f2-e2558aa39af9,Ciência de Dados,0.7
2a57540c-e7f7-48d7-b9d2-d81d1e021cff,Administração,9.0
b4aaf072-bb19-4954-bf2f-effc8938c3df,Administração,8.3
6a9c7fc9-55fc-4ac9-8a92-61476416ee03,Ciência de Dados,7.3
54dd5da4-8f00-4e93-8c6b-5419fbc8aef1,Engenharia de Software,8.1
353f4dbf-3ff9-420e-b47f-8193e52e11d6,Direito,3.6
e0b5dc09-8033-4621-8c4f-b59912d626a6,Engenharia de Software,2.7
8ca3f3b0-6fb2-421e-bc05-75bb0466929a,Ciência de Dados,6.1
d5f40cb8-b018-4401-b2ec-f3b0dbf5484f,Engenharia de Software,1.2
accf441b-6515-48a6-ba28-e0959348d9d8,Administração,6.7
4d4e718e-03e2-4035-83f5-2e108bf8ba45,Engenharia de Software,9.5
50de9ad4-cdaf-4460-8505-742c35425ea9,Administração,9.7
4f6bbf81-f277-44c1-921e-c2661ef70bf4,Ciência de Dados,4.2
67abfc99-ca5a-4db2-b78a-7be8b60723ed,Engenharia de Software,7.1
974c6218-f877-47d6-beba-ec76a1fa83bb,Administração,9.6
1c02e020-6214-40de-bb0b-37748628af27,Engenharia de Software,8.4
f721695a-0862-48b1-b125-a7a0b2962a81,Administração,1.9
fc211166-334f-4754-9f2a-29ed53a5e08b,Administração,5.2
f0f818cd-d0ab-4562-bed2-34933d765268,Direito,9.3
08b6bf73-57d8-4675-9f7b-e9bb3b3557f8,Direito,2.8
882272b2-184c-4aa1-a1e3-449f07f42789,Direito,2.6
9c955f24-98b7-484d-b1d1-ee1afd1a8cb5,Engenharia de Software,1.7
d7e561e7-73c0-4c07-8edb-cb85ce974b61,Administração,6.7
cfca9b1f-c6c1-49bb-b45f-6b734b9f167f,Administração,5.4
4ea86dac-559f-4dfd-8917-4b9f80127977,Direito,3.3
f614f4bc-01b4-41b6-b2e9-f35bba929f7b,Direito,7.0
bdcf0963-15c6-4eb0-863a-547c982cae3d,Engenharia de Software,6.2
53a0d86c-1e65-4d65-98f4-f3b3ce23341e,Administração,0.5
8c723318-a1cf-46c8-a21d-5e47f7b15e89,Administração,3.3
1b3002e6-5250-4599-b909-3a1019a1b95a,Administração,5.1
43a681dd-d806-46af-93ba-5a98dccbe9a2,Administração,0.0
c53133e0-6554-4125-ae61-9277c21824e5,Direito,2.7
9e1ae346-0ba5-42f0-9bca-412527f4f1bb,Administração,6.9
33188cf2-03a0-441d-b9e8-595488a3cab9,Administração,1.0
e30ca245-81d5-4ac6-a687-dc757d53e5c9,Engenharia de Software,3.1
88e326ff-bcd4-4759-9cc9-47e608f69660,Engenharia de Software,6.0
3e6593e2-e50a-486f-a587-413f1acb9a0b,Ciência de Dados,2.8
c71d0e3b-81d9-470d-aa88-fe5185fe88fd,Administração,7.3
0ecd3a27-4eda-487e-bd6d-b7ed40c4b9c2,Direito,3.8
25378137-cc88-4e9d-b54c-4dca94880a2e,Administração,5.9
8510d9df-4ccb-4b9f-9c0e-ff7f2828c575,Engenharia de Software,2.6
d44c7769-c958-490c-81a9-aafb4309c51d,Ciência de Dados,7.0
a9a5aa57-3620-43d9-be16-264b84c96b12,Ciência de Dados,7.4
50144ea4-27c0-4062-870f-ae71d62ca61c,Direito,0.3
a8f16869-4ddf-4ce8-a72b-24b64d48cb3c,Engenharia de Software,9.2
548fa08a-7d54-4f77-b759-ac5752890b37,Direito,9.8
495a4856-6e49-4445-b7b8-5bfd14f174d1,Engenharia de Software,7.6
fd3620bc-9ab3-4a81-ae7c-87794c44063f,Administração,4.8
a7e96b67-e353-48c3-aa4d-bf6a38b1fc08,Administração,7.6
e3d2d18c-d410-40a1-b7d6-ad9ea7c03a73,Engenharia de Software,7.9
5941c72c-d285-4eea-9d22-8363d9951129,Administração,4.6
5f763d3c-2142-486d-bdea-0948d62e0046,Engenharia de Software,4.8
8b1d0a90-1de5-41ee-bf88-2d0e037a0f4d,Direito,5.1
e88973ae-17e4-428e-8d5c-754b924f3c0f,Administração,5.8
0406b0ef-da10-46cf-971f-3bb9228d4856,Administração,3.6
814e7bdb-95e5-4cfe-a61c-2992d9400e61,Direito,8.6
311a47ac-eedd-426c-9ce2-0e2a698f25f3,Ciência de Dados,1.0
f82d2532-1738-4988-8f23-8b22fe60dfb7,Administração,0.2
e5eb0661-ab59-4bbe-aa88-97893bd75853,Direito,6.9
13b0248b-9d4b-41eb-afce-aa817a6eaf35,Administração,2.8
7ae6a084-77b4-42b0-b94a-b272f1651dac,Administração,8.7
c59dee6e-125a-43e8-8bb7-ab2e4f4098a2,Engenharia de Software,3.6
22b1cc57-75ee-4ecc-8d53-78bbebcb1bc3,Ciência de Dados,0.6
80ed4530-7944-49ab-bdeb-5830c5c04ece,Direito,9.2
0e00ecfe-eb49-4d8d-a117-ca6b80a7e11b,Ciência de Dados,7.8
abba045d-866f-44c3-a7e5-918e39eee12a,Engenharia de Software,3.8
4a7eae46-3151-4562-902e-f8087aafde0e,Engenharia de Software,4.5
c6ca72f7-9691-4acb-9368-5527d64bcdc6,Engenharia de Software,1.3
